Company,Link,Description
appleseedhq,https://appleseedhq.net/,"A modern open source rendering engine for animation and visual effects
Overview
appleseed is an open source, physically-based global illumination rendering engine primarily designed for animation and visual effects.
appleseed is actively developed by a small, international team of talented volunteers from the animation and VFX industry. Its core mission is to provide individuals and small studios with a complete, reliable, fully open rendering package.
Over the years appleseed has been used on several projects including TV documentaries, ads, promotional videos and an animation short.
Paradigm
appleseed implements a modern workflow based on path tracing that enables artifact-free, single pass rendering with very little technical tuning. It is simultaneously capable of strictly unbiased rendering when total accuracy matters, and biased rendering when artistic freedom and shorter rendering time are paramount.
Features
appleseed supports fully programmable shading via Sony Pictures Imageworks' Open Shading Language (OSL), RGB/spectral/mixed rendering, fast and robust transformation and deformation motion blur, state-of-the-art ray traced subsurface scattering, exhaustive Python and C++ APIs and many other production-oriented features.
Ecosystem
Along with the core renderer, the team is actively developing high quality integrations into Autodesk Maya and Autodesk 3ds Max. appleseed is also the default rendering engine of Image Engine’s Gaffer.
Timeline
appleseed was founded in May 2009 by François Beaune, a former rendering engineer from the core R&D team at mental images (now NVIDIA).
In October 2011, the development of appleseed benefited from a technology sharing agreement with Jupiter Jazz Limited and received funding for one year. Since October 2012, appleseed relies on the continued effort of talented volunteers."
Ardupilot.org,http://ardupilot.org,"The worlds most advanced open source autopilot
ArduPilot is the most advanced, full-featured and reliable open source autopilot software available. It is the only autopilot software capable of controlling any vehicle system imaginable, from conventional airplanes, multirotors, and helicopters, to rovers and boats and even submarines. Most recently it has been expanded to support new emerging vehicle types including quad-planes, compound helicopters, tilt-rotors and tilt wings VTOLs.
ArduPilot runs natively on a wide variety of hardware platforms from the very popular Pixhawk flight controller (32bit ARM) to the advanced Intel Aero linux flight controller (see full list here: http://ardupilot.org/copter/docs/common-autopilots.html).
The ArduPilot team is lead by an experienced group of passionate and world class developers from all over the world with expertise in Extended Kalman Filters, control theory, embedded programming, Linux and much more.
A welcoming and friendly group of developers that is happy to share their knowledge with you but also with too many interesting projects to complete on their own. An engaged group of partner companies provides the hardware and financial support for the group. They could use your help!"
Bazel,https://bazel.build/,"Build and test software of any size, quickly and reliably
Bazel is the build tool behind Google's own builds, publicly available on GitHub since 2015. Bazel is a multi-language and multi-platform build tool that runs Linux, macOS, and Windows, and has built-in support for C++, Java, Android, iOS, and more. Bazel provides a simple but powerful extension model that you can use to develop your own build and test rules."
BeagleBoard.org,https://beagleboard.org,"Open hardware computing from kindergarten to kickstarter
BeagleBoard.org is an open source community of experienced hackers, hobbyists and engineers who are enthusiastic about building powerful, open ARM-based systems completely programmable through your web browser. BeagleBoard.org’s vision is to improve access to small, low-power computing platforms that can be embedded into new creations using easy to use development tools, such as its self-hosted, web-based IDE. The hardware designs of all Beagle boards are open source with all schematics, bills-of-materials, layouts, etc. shared for building other devices. The software is also open source and is generated by the community. Compiler tools are free and the board is available at a low cost. Boards will be provided for free to any student participating in a BeagleBoard.org-related GSoC project.
Texas Instruments sponsors a number of BeagleBoard.org-related activities and the first members of the community were TI employees, however, the collaboration base is now stronger than ever with over 10,000 members on the mailing list, over 100,000 individual developers worldwide who have purchased Beagle hardware and over 150 developers who actively participate on the live chat (IRC channel) at any given time. Existing projects are often for the purpose of building robots, autonomous flying drones, automotive entertainment and navigation systems, home media centers, digital signs, wearable computers, gaming consoles and even 3d printers! (over 380 projects registered at http://beagleboard.org/project/) Existing software compatibility includes various versions of Android, Ubuntu, Angstrom, Gentoo, FFmpeg, XBMC, ROS, OpenCV and much more."
Berkman Klein Center for Internet and Society,https://cyber.harvard.edu,"Exploring cyberspace, sharing in its study, & helping to pioneer its development
Exploring cyberspace, sharing in its study, and helping pioneer its development.
The Berkman Klein Center for Internet & Society at Harvard University was founded to explore cyberspace, share in its study, and help pioneer its development. We represent a network of faculty, students, fellows, entrepreneurs, lawyers, and virtual architects working to identify and engage with the challenges and opportunities of cyberspace.
We investigate the real and possible boundaries in cyberspace between open and closed systems of code, of commerce, of governance, and of education, and the relationship of law to each. We do this through active rather than passive research, believing that the best way to understand cyberspace is to actually build out into it.
Our faculty, fellows, students, and affiliates engage with a wide spectrum of Net issues, including governance, privacy, intellectual property, antitrust, content control, and electronic commerce. Our diverse research interests cohere in a common understanding of the Internet as a social and political space where constraints upon inhabitants are determined not only through the traditional application of law, but, more subtly, through technical architecture (""code"").
As part of our active research mission, we build, use, and freely share open software platforms for free online lectures and discussions. We also sponsor gatherings, ranging from informal lunches to international conferences, that bring together members of our diverse network of participants to swap insights – and sometimes barbs – as they stake out their respective visions for what the Net can become. We also teach, seeking out online and global opportunities, as well as supporting the traditional Harvard Law School curriculum, often in conjunction with other Harvard schools and MIT.
Read more about the Berkman Klein Center at our homepage."
"Biomedical Informatics, Emory University",https://github.com/sharmalab/Emory-BMI-GSoC-2019,"Department of Biomedical Informatics (BMI), Emory University School of Medicine
Biomedical Informatics (BMI) is a multidisciplinary field that is motivated by our desire to improve diagnosis, clinical care, and human health, through novel computational approaches to use (and learn from) biomedical and clinical data. We use our expertise in computer science and informatics by developing various enabling tools, technologies, and algorithms to solve specific biomedical and clinical applications. And in doing so help advance our understanding of disease and treatment, and also develop useful software and applications. Members of the department work in a variety of areas that range from machine learning, healthcare middleware that leverages cloud computing, clinical information systems, clinically oriented image analysis, and biomedical knowledge modeling. The driving applications for the various ongoing projects include cancer research, organ transplant, HIV, medical imaging, radiation therapy, and clinical data analytics. All development work that is undertaken is free and open-source.
We have had a diverse set of successful GSoC projects in the past. In previous years, GSoC students have worked on diverse projects such as: geospatial systems for exploring microscopy environments that leveraged Hadoop; GPU accelerated pipelines for computational analysis of digitized biopsies; interactive visualization platforms for viewing massive images (>1GB); systems for data agnostic sharing of biomedical research datasets; Apache Drill based data integration platform; CNN based high throughput analysis of digitized biopsies; and information visualization of heterogeneous medical data. Many of these projects have been published in reputable journals and presented at major conferences. Some of the projects proved to be so successful that they were adopted in major national/international biomedical research initiatives."
Blender Foundation,http://www.blender.org,"Free and open source 3D creation for everyone, forever.
Blender is the free/open source 3D creation software for everyone, providing individuals and small teams a complete pipeline for 3D graphics, modeling, animation and games.
Blender is being made by 100s of active volunteers from all around the world; by studios and individual artists, professionals and hobbyists, scientists and students, vfx experts and animators, and so on.
All of them are united by an interest to have access to a fully free/open source 3D creation pipeline. Blender Foundation supports and facilitates these goals - even employs a small staff for that - but fully depends on the online community to achieve it.
Since 2005, Blender has organized a dozen short open films and a game project, which helped Blender tremendously to get more accepted by professionals in their daily work.
We invite students to think of ways to help us with this further. If your passion is with 3D coding, creativity tools, scientific simulation, or anything related to Computer Graphics in general, feel welcome to join us!"
Boost C++,https://www.boost.org/,"Boost provides free peer-reviewed portable C++ source libraries
Boost provides free peer-reviewed portable C++ source libraries.
We emphasize libraries that work well with the C++ Standard Library. Boost libraries are intended to be widely useful, and usable across a broad spectrum of applications. The Boost license encourages both commercial and non-commercial use.
We aim to establish existing practice and provide reference implementations so that Boost libraries are suitable for eventual standardization. Many Boost libraries are included in the C++ Standards Committee's Library Technical Report (TR1), in the C++11, C++14 and C++17 standard. More Boost libraries are proposed for standardization in C++20.
Since 2006 an intimate week long annual conference related to Boost called C++ Now has been held in Aspen, Colorado each May. Boost has been a participant in the annual Google Summer of Code since 2007."
BRL-CAD,https://opencax.github.io,"Solid geometry, computer graphics, 3D printing, modeling, CAD, CAM, & other CAx!
This is the place to be if you love or want to learn more about computer graphics. We do 2D/3D modeling, 3D printing, solid geometry, ray tracing, and more. Depending on the project, you'll work with C/C++, Python, OpenGL, OpenCL, Qt, Tcl/Tk, Javascript/Node.js, and so much more... Help us make computer-aided technologies (CAx) to be freely used around the world!
BRL-CAD operates under an umbrella organization with several other computer-aided technologies (CAx) including:
OpenSCAD is a solid 3D modeler with a rich syntax for programmable geometry.
Slic3r is a 3D model processor for generating printing instructions for 3D printers.
LibreCAD is a 2D modeling system specializing in blueprint-style drawings and draftings.
FreeCAD provides parametric 3D modeling with engineering functionality like FEM and CAM.
We want to select at least one student for each, so feel free to ask us where to start."
Buildroot,http://www.buildroot.org,"Making Embedded Linux easy
Buildroot is used by thousands of companies and individuals around the world to build from source highly customized and optimized embedded Linux systems. Companies as famous as GoPro, Tesla or Google use Buildroot for various products.
Based on the standard technologies GNU Make and Kconfig, Buildroot is easy to learn and understand, and quickly allows to build an embedded Linux system, including a cross-compilation toolchain, a root filesystem with numerous applications and libraries, a Linux kernel image, and one or several bootloader/firmware images. It offers more than 2400 packages for a wide variety of open-source software, such as Qt5, X.org, Wayland, Kodi, Python, PHP, Go, Gtk and many more.
By working on Buildroot, students will learn a lot about how a Linux system works and how it is built. They will enjoy working in a friendly community of embedded Linux experts, and will learn using a tool that is used by thousands of companies in the embedded industry around the world."
Canadian Center for Computational Genomics,http://computationalgenomics.ca/,"Analytical solutions for Next-Generation Sequencing data
The Montreal C3G node is hosted at the McGill University and Genome Quebec Innovation Centre (MUGQIC). The Montreal node is strongly involved with GenAP and has developed several genomic data analysis pipelines. Our teams have significant experience in personalized medicine applications. Since 2011, we have completed more than 400 bioinformatics analysis projects with over 290 distinct groups of researchers across Canada. These have included genome analysis and interpretation of personal genomes, technology and services to record patient presentations, RNA- and ChIP-seq data analysis, and analysis of complete human epigenomes, in both germline disorders and cancers. Each year C3G co-organizes several international workshops about next-generation sequencing data analysis.
The Montreal C3G node develops the GenPipes pipelines which consist of Python scripts which create a list of jobs running Bash commands to analyze NGS data. Those scripts support dependencies between jobs and a smart restart mechanism if some jobs fail during pipeline execution. Job commands and parameters can be modified through several configuration files. We currently maintain 7 pipelines and are developing 3 others.
The Montreal C3G node also develops several bioinformatics tools:
BVAtools
POPsv
SCoNEs"
Catrobat,https://catrobat.org,"Computational Thinking for All with Free Visual Coding Apps
The Catrobat project develops useful frameworks to create games, animations, or apps easily within a short time. This set of creativity tools for smartphones, tablets, and browsers is inspired by the well-known Scratch framework by the Lifelong Kindergarten Group at the MIT Media Lab. The motivation behind the project is that programming is an important cultural technique on the same level as mathematics and physics, from a practical as well as from a philosophical point of view. Our aim thus is to popularize the skills needed to program from an early age on in a fun and engaging way that will facilitate the spread of its adoption among young people all over the world. Our awarded Android app “Pocket Code” is currently the most famous outcome of the project. Without the need of any further devices, users have the possibility to create their first program directly on their mobile device in a “Lego-like” style with blocks in just a few steps. Pocket Code supports all common device sensors, provides special bricks for different robotic devices (Lego Mindstorms, Robotix Phiro,...) as well as for hardware devices such as the Arduino board or the Raspberry Pi, and of course offers elements of programming languages such as variables, if-statements, concurrency, etc. We also work on frameworks for other OS and on making it available on browsers. That’s why developers of different fields help us to keep our products up to date to the current needs of the users. Motivated by prizes (such as the Lovie Award, the Austrian National Innovation Award or the Re-Imagine Education Award) and being featured by different programs (like Google Play for Education or code.org) our team is working on many different subprojects and extensions which will be released in the coming years. Over 500 developers already contributed to our project on different topics such as App-Development, Web-Technologies, Graphics, Usability, Internationalization, or Design."
cBioPortal for Cancer Genomics,http://www.cbioportal.org/,"Developing open source solutions for discovery from complex cancer data
About the cBioPortal
The cBioPortal for Cancer Genomics is a resource designed to provide broad community access to cancer genomic data. It provides a unique user­-friendly and ""biology­-centric computational user interface"", with the goal of making genomic data more easily accessible to translational scientists, biologists, and clinicians. The interface was explicitly built and continues to evolve with careful usability studies involving multiple biological and clinical users, and an active and engaged user base.
The public cBioPortal is now one of the most popular resources for cancer genomics data and attracts more than 3,000 cancer researchers and clinicians per day. The cBioPortal paper (Cerami et al. Cancer Discov. 2012 has been cited more than 4,000 times since its publication.
The cBioPortal project has become an open source project under the Affero General Public License (AGPL), due to the high demand for local installations and contribution requests. There are more than 40 actively used cBioPortal instances in hospitals, universities, pharmaceutical companies, and other institutes all over the globe.
About us
We are a group of software engineers, bioinformaticians, and cancer biologists building software solutions for precision medicine for cancer patients. Our overall goal is to build infrastructure to support clinical decisions for personalized cancer treatment by utilizing “big data” of cancer genomics and patient clinical profiles. Our multi-institutional team currently has more than 30 active members, primarily from Memorial Sloan Kettering Cancer Center in New York, the Dana-Farber Cancer Institute in Boston, Princess Margaret Cancer Centre in Toronto, Children's Hospital of Philadelphia, and The Hyve, a bioinformatics company from the Netherlands."
CBMI@UTHSC,https://cbmi.lab.uthsc.edu/people-2/people/,"We develop Biomedical and Clinical informatics applications
CBMI@UTHSC provide the researchers, and clinicians with customized biomedical and clinical informatics applications to help manage complex translational and clinical research needs and gain insights into various diseases and conditions.
In the past, we have developed an open source software for online feature extraction and machine learning pipeline for real-time analysis of streaming physiological data. We have also built machine learning and deep learning models to predict fever, sickle cell disease, and sepsis in children and adults.
Through the Google Summer of Code (GSoC) program, we are specifically interested in creating open-source web application to identify the onset of abnormal conditions using the large-scale real-time sensor data at the bed-side."
CCExtractor Development,https://www.ccextractor.org/,"Tools to make the world more accessible, starting with media
CCExtractor Development is the creator of the de-facto captions extraction tool - CCExtractor. It is the one tool that is free, portable, open source and community managed that can take a recording from a TV show and generate an external subtitle file for it.
If you regularly watch content with subtitles you download from fan sites - you should know that the source file is most likely generated by CCExtractor. If you are a student in a university that uses subtitles for natural language study, you should know that most likely we are involved somehow.
While we already support subtitles from North America, Europe, Australia and more, our world map is not yet complete. We are actively looking for students that want to help us fill the gaps. We also want to automate many of the processes that are currently done manually, such as achieving perfect sync, our media file management.
In addition to continuously evolve our core tool, we have a growing number of new projects: JokerTV integration, YouTube TV/Hulu support, AI, rclone, cloud, and a few more that are starting to take shape.
The best part is - students have flexibility of choosing projects from a wide range of topics & technologies and even propose their own. We provide exceptional resources for students. Read more about the perks on our website.
We’re very excited to take part in GSoC for the 7th time. Most of our past students are still involved and are active in the community, which simply goes on to show how friendly and approachable is the environment. If you want to be a part of such community and help achieve our goals, come join our Slack group or mailing list!"
Center for Research in Open Source Software at UC Santa Cruz,http://cross.ucsc.edu,"Bridging Gap Between Student Work and Successful Open Souce Projects
The Center for Research In Open Source Software (CROSS) at the University of California in Santa Cruz (UCSC) aims to bridge the gap between student research and open source software projects. CROSS turns OSS prototypes into successful open source software projects. The Center was created in 2015 inspired by the story of UCSC alumni (and CROSS benefactor) Sage Weil, who turned his research prototype Ceph into a multi-million dollar company. We draw from the expertise of our affiliated experts and industry members to choose projects that will have maximum real world impact. Our projects are mentored and guided by a team of experts chosen specifically to best ensure success.
CROSS uses a combination of teaching, networking, research and incubation of open source projects. With the support of our industry members, CROSS currently funds six open source software projects-- three research projects and three incubator projects. These projects are:
Skyhook: Programmable Storage for Databases (https://sites.google.com/view/skyhook-programmable-storage)
Tracery2 and Chancery (http://www.tracery.io/)
Black Swan: The Popper Reproducibility Platform (http://falsifiable.us/)
LGraph: Open Source Multi-Language Synthesis and Simulation Infrastructure (https://github.com/masc-ucsc/lgraph)
CAvSAT: A System for Query Answering over Inconsistent Databases (https://github.com/uccross/cavsat)
Eusocial Storage Devices: Quantifying the benefits of offloading to smart storage devices (https://www.usenix.org/publications/login/summer2018/kufeldt)"
CERN-HSF,http://hepsoftwarefoundation.org/activities/gsoc.html,"Umbrella organization for Particle (High-Energy) Physics-related projects
CERN-HSF (High-Energy Physics Software Foundation) is the umbrella organization for high-energy physics-related projects in GSoC. The HEP Software Foundation (http://hepsoftwarefoundation.org/) facilitates the coordination of common international efforts in high-energy physics software and computing.
CERN (European Organization for Nuclear Research, https://home.cern) has participated in GSoC since 2011 as the CERN-SFT group, which provides common software for CERN's experiments. In 2017, the program expanded to include many software projects from the whole field of high-energy physics. The vast majority of our GSoC projects do not require any physics knowledge.
The experiments at CERN, such as the Large Hadron Collider, the world’s largest and most powerful particle accelerator (http://home.cern/topics/large-hadron-collider) try to answer fundamental questions about the Universe. For example, what is the nature of mass? What are the elementary building blocks of the Universe? What was the early Universe like? What is the nature of dark matter and dark energy? Why is there an asymmetry between matter and antimatter? In 2012, LHC experiments announced the discovery of a new particle, the Higgs Boson, that helps explain how particles obtain mass. Also, CERN is the birthplace of the World Wide Web. Today, particle physicists are working on analyzing the data from the experiments to study the properties of the newly discovered particle and to search for new physics, such as dark matter or extra dimensions. This requires a lot of sophisticated software.
The open-source high-energy physics projects to which students can contribute during GSoC span many high-energy physics software projects: data analysis, detector and accelerator simulation, event reconstruction, data management and many others. We look forward to your contributions!"
CGAL project,https://www.cgal.org,"C++ library of computational geometry and geometry processing
CGAL is a software library that offers a number of reliable geometric data structures and algorithms. CGAL components operate in 2D and 3D, and sometime in arbitrary dimensions. Examples of components include convex hulls, convex decomposition, Delaunay triangulations, Voronoi diagrams, polygonal surface mesh data-structures, mesh generation, Boolean operations, envelope computations, intersection detection, surface reconstruction, and subdivision surfaces.
CGAL is used in a variety of application domains such as CAD/CAM (computer aided design and modeling), GIS (geographic information systems), geophysics, image processing, molecular biology, robotics, motion planning, and graphics.
CGAL is written in C++ and rigorously adheres to the generic-programming paradigm.
CGAL became an Open Source project in 2003. Most of CGAL is under the GPL v3+ license, and some core parts are under the LGPL v3+. The semi-annual releases have currently about 10,000 downloads. CGAL is commercially supported by the spin-off company GeometryFactory."
CHAOSS,https://chaoss.community,"Aimed at improving our understanding of open source health and sustainability
Our open source ecosystem is growing. More developers and companies engage in open source every year because it is cost efficient, it enables rapid innovation, and it promotes open standards. Open source is becoming the default for software development.
The importance of open source software is no longer in question. However, its importance raises important questions about the open source ecosystem. Open source contributors want to know where they should place their efforts and know that they are making an impact. Open source communities want to attract new members, ensure consistent quality, and reward valuable members. Open source companies want to know which communities and software to engage with, communicate the impact the organization has on the community, and evaluate the work of their employees within open source. Open source foundations want to identify and respond to community needs, evaluate the impact of their work, and promote communities.
In response to these issues, the CHAOSS community is developing metrics, methodologies, and software for expressing open source project health and sustainability. By measuring open source project health and sustainability, CHAOSS seeks to improve the transparency of open source project health and sustainability so that relevant stakeholders can make more informed decisions about open source project engagement."
Chapel,https://chapel-lang.org/,"a Productive Parallel Programming Language
Chapel is an open-source programming language designed for productive parallel computing at scale. Chapel is implemented with portability in mind, permitting Chapel to run on multicore desktops and laptops, commodity clusters, and the cloud, in addition to the high-end supercomputers for which it was designed. Chapel's design and development are being led by Cray Inc. in collaboration with academia, computing centers, and industry. Chapel offers a unique experience for students to work on projects involving high-performance computing, parallel programming, and compiler development.
Core features
Native Parallelism
Chapel supports parallelism at the language level. For instance, Chapel provides a ""coforall"" loop, which is similar to a ""for"" loop and creates a separate task per iteration of the loop body. These explicit parallelism features make it easier to reason about the parallelism in your algorithm and program.
Data and Task Locality
When working on a large machine, the location of some data relative to the task which uses it or other data with which it must work plays a key role in performance. Chapel provides features which allow you to control that placement, both within a data structure and outside it.
Multiresolution Philosophy
Chapel is designed around a multiresolution philosophy, permitting users to initially write very abstract code and then incrementally add more detail until they are as close to the machine as their needs require.
Modern Language Features
Chapel supports code reuse and rapid prototyping via object-oriented design, type inference, and features for generic programming.
Interoperability
Existing code from other languages can be integrated into Chapel programs (or vice-versa) via interoperability features."
Checker Framework,https://checkerframework.org/,"Prevent programming errors before they happen, via easy-to-use verification
We are a group of developers who are passionate about code quality. We have built an innovative lightweight verification tool called the Checker Framework.
The Checker Framework helps you prevent bugs at development time, before they escape to production. It is based on the idea of pluggable type-checking. Pluggable type-checking replaces a programming language's built-in type system with a more powerful, expressive one.
Java's type system prevents some bugs, such as int count = ""hello"";. However, it does not prevent other bugs, such as null pointer dereferences, concurrency errors, disclosure of private information, incorrect internationalization, out-of-bounds indices, etc.
The Checker Framework enables you to create a more powerful type system and use it in place of Java's. The more powerful type system is not just a bug-finding tool: it is a verification tool that gives a guarantee that no errors (of certain types) exist in your program. Even though it is powerful, it is easy to use. It follows the standard typing rules that programmers already know, and it fits into their workflow. We have created around 20 new type systems, and other people have created many more.
The Checker Framework is popular: it is successfully used on hundreds of projects at Google, Amazon, Uber, on Wall Street, and in other companies from big to small. It it attractive to programmers who care about their craft and the quality of their code. The Checker Framework is the motivation for Java's type annotations feature. Talks on it have received multiple awards at conferences such as JavaOne. With this widespread use, there is a need for people to help with the project: everything from bug fixes, to new features, to case studies, to IDE integration. We welcome your contribution!
Please see our ideas list for how to get started and how to ask questions."
CircuitVerse.org,https://circuitverse.org/,"Have fun exploring logic circuits right from your browser!
CircuitVerse is an easy to use digital logic circuit simulator which aims at providing a platform to create, share and learn digital circuits. It can run on almost any device without the need for installing any software. The platform has been designed for use by students, professionals and hobbyists alike. The vision is to develop a community around the platform which will aid students to self-learn digital logic design. Apart from the simulator, users can create, learn, collaborate and share their work. CircuitVerse is currently used by several universities worldwide since it provides features for teachers to create groups and host assignments on the platform."
